"Year","Sex","Age group","Country/Region/World","ISO","Prevalence of BMI < -2SD (thinness)","Prevalence of BMI < -2SD (thinness) lower 95% uncertainty interval","Prevalence of BMI < -2SD (thinness) upper 95% uncertainty interval","Prevalence of BMI > 2SD (obesity)","Prevalence of BMI > 2SD (obesity) lower 95% uncertainty interval","Prevalence of BMI > 2SD (obesity) upper 95% uncertainty interval","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity)","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity) lower 95% uncertainty interval","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity) upper 95% uncertainty interval","Prevalence of -2SD ≤ BMI < -1SD","Prevalence of -2SD ≤ BMI < -1SD lower 95% uncertainty interval","Prevalence of -2SD ≤ BMI < -1SD upper 95% uncertainty interval","Prevalence of -1SD ≤ BMI ≤ 1SD","Prevalence of -1SD ≤ BMI ≤ 1SD lower 95% uncertainty interval","Prevalence of -1SD ≤ BMI ≤ 1SD upper 95% uncertainty interval","Prevalence of 1SD < BMI ≤ 2SD","Prevalence of 1SD < BMI ≤ 2SD lower 95% uncertainty interval","Prevalence of 1SD < BMI ≤ 2SD upper 95% uncertainty interval"
2000,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05841913578747324,0.045425547056583436,0.07488674686275996,0.08174522718166433,0.06239415696605719,0.10445298094865824,0.14016436296913756,0.11763414796794064,0.16566141991100922,0.13692329452393148,0.11506887783549166,0.16091398532379414,0.5965927960252082,0.5650014243916145,0.6269988081833672,0.12631954648172267,0.10535384459713586,0.15036263984152226
2001,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05720302050069035,0.04449093619834851,0.0736369184931404,0.08448528525576922,0.06492074964758741,0.10715290212354045,0.14168830575645958,0.11951925358800666,0.1672136144615427,0.13499031238537074,0.11333927613695831,0.15872395534713307,0.5947296514022993,0.5636061824175952,0.6250554386126341,0.12859173045587036,0.10719531016082881,0.15254768196448829
2002,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05612828108187375,0.04357549140853312,0.07218778100047464,0.08744532345261831,0.06780231072766818,0.1103824270413012,0.14357360453449206,0.12099547367322257,0.1692217039869382,0.1330629065090975,0.11175170069807792,0.1566116366182329,0.5924137895557865,0.5616052628363695,0.6226100920254085,0.13094969940062384,0.10970977315319332,0.15480889407234258
2003,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05522379430633678,0.042860762207992356,0.07104504763677494,0.09059388871584959,0.07066367032402582,0.11385623710200451,0.14581768302218637,0.12318284032745837,0.1714431375614664,0.13117659183404046,0.11005380641529895,0.15433973717675434,0.5896653087496787,0.5589060124659072,0.6197348555103517,0.1333404163940944,0.11195268450679834,0.15702457396310052
2004,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05452105508049245,0.04240067924391295,0.07016840445085687,0.09383233780948858,0.07349887746103598,0.11742174898465359,0.14835339288998103,0.12558095831173058,0.17421528544898027,0.12943108064501507,0.10866559433640927,0.15220578238092192,0.5865642917792412,0.555895260731572,0.6168112952074674,0.1356512346857627,0.11427514785371792,0.15961448510159232
2005,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05406590486407166,0.042165176289312045,0.06955700395537182,0.09697148182858112,0.07627458596157023,0.12109835767057825,0.1510373866926528,0.12791375568747576,0.17733813269294885,0.12796747451330273,0.10735429622842788,0.15035913540057558,0.5832819615601985,0.5524271619015705,0.6132764069181463,0.13771317723384613,0.11616228485908646,0.16206401891147876
2006,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05384497799168255,0.0421524115805894,0.06906679431798167,0.09997434007471111,0.07888836520880846,0.1243395093153596,0.15381931806639362,0.1305993235965196,0.18034582781988517,0.12683444622112053,0.10636946976008503,0.14901578942723653,0.5799138986130086,0.5488995803905593,0.6101034635734081,0.13943233709947717,0.11765543889401227,0.16432173748575432
2007,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05394302735778423,0.042340874930781924,0.06910866974623153,0.10280186505748602,0.08132946050489387,0.12740442180033196,0.15674489241527026,0.133345472884055,0.18328868770307877,0.1261537090246146,0.10575828954298744,0.14837447281326854,0.5763825173022809,0.5453823271383481,0.6065262641834778,0.14071888125783438,0.11891978465456692,0.1659215144840298
2008,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05433226216589647,0.04283995141122521,0.06946525031373672,0.105409914980243,0.08353562241335044,0.13062015367043592,0.15974217714613947,0.1356454078238349,0.18637186641318487,0.125887086972311,0.10584259418831209,0.14823939624703458,0.5727909518655704,0.5420600107173451,0.6028439520812847,0.14157978401597926,0.11982455666107493,0.16654091107893979
2009,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.054897850722562105,0.043392009366285095,0.06988652699943955,0.10784923087420097,0.0855653948647361,0.13289279762752587,0.16274708159676307,0.13855834766534353,0.1895232185009611,0.12586499181125754,0.10579576306633691,0.14819792879954027,0.5691548867574588,0.5385764368654962,0.5992332855571987,0.14223303983452062,0.12033559954794586,0.16689038608404608
2010,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05549982095097457,0.044013034983902834,0.07037015499015119,0.11038687357717873,0.08762094879160472,0.1360833178391263,0.1658866945281533,0.1413866032740034,0.1928220543197047,0.12578444026180524,0.1059671931059293,0.1478867107165711,0.5654050391750428,0.5347850600263456,0.5954904180679522,0.14292382603499873,0.12101343735133133,0.1678258788076399
2011,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05592478822096226,0.044448041987417135,0.07095427906590564,0.11319219112685883,0.0898756633286105,0.1390738397035798,0.16911697934782108,0.14432042259577343,0.19635288124385766,0.1253943300027508,0.10558246115704634,0.14734270147594475,0.5616389375044157,0.5307386044511497,0.5917402510475294,0.1438497531450123,0.12190005478990013,0.16839552435352606
2012,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.056314296061478954,0.04465604097151852,0.07132108261852467,0.11616995787766245,0.09275160404600552,0.14231191848637348,0.1724842539391414,0.1474069568773235,0.2000282207683051,0.1248785208246716,0.10509237499029368,0.14677012440161724,0.5576587504347532,0.5268172514633694,0.5877645743143078,0.14497847480143386,0.12307604747855437,0.16956599234714015
2013,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05666006074628141,0.04503630954228786,0.07164932659827582,0.11937728299991088,0.09553414946576538,0.14570192580033509,0.1760373437461923,0.15041533615805835,0.20422312327007977,0.12416654108839804,0.10450302777564634,0.14577839863789505,0.5534318681859159,0.5222607369806864,0.5833450615661981,0.14636424697949368,0.12445539262349282,0.17088234262356936
2014,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.056943936443645725,0.04535591892305697,0.07198508920167292,0.12295478468665869,0.09860646309996066,0.14987271441184769,0.1798987211303044,0.15363580185626516,0.20822242921859044,0.12325174534883894,0.1037126871012196,0.1450070999201547,0.5488506657097151,0.5174389431099903,0.5789997353747545,0.1479988678111416,0.1260447117353668,0.17286789034585542
2015,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05718317943219803,0.045517471156741485,0.07252448244237611,0.12692942029401252,0.10149551531290375,0.15418450244136456,0.18411259972621058,0.1569112271994883,0.2132926930236566,0.12215210774021883,0.10257613367064228,0.14377277909289388,0.5438868339002005,0.5122438021775816,0.5741215854230232,0.14984845863337012,0.12764831835293816,0.1749437269448104
2016,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05748959030915474,0.04554228469991293,0.07299563804790146,0.1312263296408742,0.10472209903206213,0.15980377044683763,0.18871591995002895,0.16031954921024302,0.2188182288661853,0.12096544002331777,0.10139651610733756,0.14266933148954827,0.538475728967409,0.5064883204277204,0.5690782018162586,0.1518429110592443,0.12931378978151647,0.17747336645641462
