"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Global",NA,"Women",2007,"Crude",0.0902226690800053,0.0849645356421555,0.0957440868631745,0.353616998838733,0.333322502323926,0.375554686041355
"Global",NA,"Women",2008,"Crude",0.0925291718171783,0.0874981840234281,0.0978188164943689,0.357789681738111,0.338382856695072,0.379137108733697
"Global",NA,"Women",2009,"Crude",0.0949450058729952,0.0900250219546767,0.100133304362024,0.362103418958146,0.343527094497938,0.382342139431091
"Global",NA,"Women",2010,"Crude",0.0974948881476035,0.092570000718973,0.102684177686373,0.366500434250652,0.348532387158315,0.38600900326413
"Global",NA,"Women",2011,"Crude",0.100185394246246,0.0951821118938049,0.105389817466626,0.370941753862126,0.352998492706264,0.390141890621742
"Global",NA,"Women",2012,"Crude",0.10307256800702,0.0980560585131739,0.108427939644071,0.375423118549096,0.357250677113493,0.394665659578802
"Global",NA,"Women",2013,"Crude",0.106282519686532,0.101007337140528,0.111834146639303,0.379843197149158,0.361011406118644,0.399664532785083
"Global",NA,"Women",2014,"Crude",0.109811304852118,0.104265925344497,0.115618755280889,0.38408110672989,0.364543412358581,0.404890598549894
"Global",NA,"Women",2015,"Crude",0.113753241343784,0.107735625483155,0.119973874794429,0.387985105113558,0.367225430901945,0.409835509377154
"Global",NA,"Women",2016,"Crude",0.118071778619633,0.111341857479336,0.124890401953487,0.391538922118625,0.369083165035975,0.415352117623782
"Global",NA,"Women",2017,"Crude",0.122614261508111,0.115068461996577,0.130504109053996,0.394900003687501,0.370326102185267,0.421052005407517
"Global",NA,"Women",2018,"Crude",0.127426919807938,0.118726934380457,0.136723512117994,0.398211398350226,0.371371650876106,0.427072895787235
"Global",NA,"Women",2019,"Crude",0.132544505446173,0.122307687090307,0.143448326866132,0.401458160390375,0.371179596880907,0.43299612053807
"Global",NA,"Women",2020,"Crude",0.137922055356269,0.125828098764204,0.151398983924426,0.404523909250374,0.371156053853617,0.439745801295125
"Global",NA,"Women",2021,"Crude",0.143438216018822,0.128969052395315,0.15946858928209,0.407449356262787,0.370532783395876,0.446967086987683
"Global",NA,"Women",2022,"Crude",0.149286943406127,0.132333966269924,0.168352825665428,0.410450330455501,0.370433553533573,0.45468379457207
